company_name,productivity_change_pct,employees_impacted
Montgomery-Gentry Pvt. Ltd.,1.240467255071842,668
Wilson-Matthews Pvt. Ltd.,21.27292093984403,270
Jones-Watkins Pvt. Ltd.,65.33182682794354,304
"Smith, Frank and Peters Pvt. Ltd.",37.28651792512252,184
"Coleman, Martin and Kennedy Pvt. Ltd.",4.478456395257724,748
Williams-Murray Pvt. Ltd.,24.58830964790696,322
"James, Bryant and Gonzalez Pvt. Ltd.",33.607767770330256,517
"Martin, Oliver and Edwards Pvt. Ltd.",79.34137920802705,624
Velazquez-Mccoy Pvt. Ltd.,12.7606933759697,153
"Johnson, Daniel and Clayton Pvt. Ltd.",53.51603907518542,444
"Johnson, Martin and Alvarez Pvt. Ltd.",48.118942619058544,906
"Martin, Peterson and Eaton Pvt. Ltd.",0.6142757181089809,550
Mckenzie-Hooper Pvt. Ltd.,86.35035385197898,645
Wright-Gates Pvt. Ltd.,87.97500662485852,745
"Cruz, Robinson and Stewart Pvt. Ltd.",82.06056365786924,234
"Cole, Hall and Green Pvt. Ltd.",5.991976047572434,963
Graham-Chapman Pvt. Ltd.,8.720436147830146,289
"Villa, English and Harrison Pvt. Ltd.",92.81596736833096,777
Conley-Hill Pvt. Ltd.,36.96566546294922,514
"Salinas, Sampson and Reyes Pvt. Ltd.",65.71669699228525,238
"Johnson, Robles and Duarte Pvt. Ltd.",96.99140556614766,370
"Murphy, Mendez and Sparks Pvt. Ltd.",24.30025350189654,689
Cameron-Marsh Pvt. Ltd.,60.95680024910063,540
Osborn-Castro Pvt. Ltd.,21.825161327795108,182
"Swanson, Roberson and Gardner Pvt. Ltd.",74.86659958741329,691
Flynn-Pollard Pvt. Ltd.,90.12602329181917,205
Duncan-Sanchez Pvt. Ltd.,58.32174319069742,926
"Watts, Gaines and Molina Pvt. Ltd.",52.079531866142126,787
Melendez-Coffey Pvt. Ltd.,14.404057045707065,725
"White, Stone and Morgan Pvt. Ltd.",2.6495686727570966,655
"Hess, Hale and Cummings Pvt. Ltd.",9.592965396014552,966
Molina-Lowe Pvt. Ltd.,0.4959424495919573,967
Rogers-Bowers Pvt. Ltd.,92.20230712956236,902
"Eaton, Morales and Petty Pvt. Ltd.",44.99307180501112,900
Barajas-Flores Pvt. Ltd.,80.81679844270944,768
Martin-Harrington Pvt. Ltd.,4.087718669846774,821
"Harper, Cunningham and Carter Pvt. Ltd.",36.50449252486643,566
"Thompson, Clark and Atkins Pvt. Ltd.",0.26283557907949,687
Nichols-Mcdonald Pvt. Ltd.,89.5851142856394,777
"Norton, Ramos and Pope Pvt. Ltd.",11.855640686598324,682
Munoz-Lee Pvt. Ltd.,63.51850882522826,487
Hardy-Taylor Pvt. Ltd.,50.48697542650172,600
Sanchez-Smith Pvt. Ltd.,84.63758711044835,727
"Malone, Young and Henderson Pvt. Ltd.",88.77303721913835,227
Anderson-Garcia Pvt. Ltd.,84.8893051476434,984
Mccullough-Daniel Pvt. Ltd.,74.58495564904447,917
Russell-Francis Pvt. Ltd.,44.19141518934754,742
King-Nelson Pvt. Ltd.,81.06034773026893,861
Benson-Fernandez Pvt. Ltd.,83.41651447354087,507
"Castro, Henry and Wallace Pvt. Ltd.",82.94552798229076,642
"Mack, Burch and Morgan Pvt. Ltd.",59.79124633884506,633
Sanchez-Foster Pvt. Ltd.,13.922094521712005,338
Olsen-Campbell Pvt. Ltd.,39.153989355177686,401
Cantu-Rodriguez Pvt. Ltd.,49.03138880113098,793
Obrien-Mason Pvt. Ltd.,86.55263360923621,253
Snyder LLC Pvt. Ltd.,43.84210270095716,625
Duarte-Richardson Pvt. Ltd.,50.26473794313277,697
Hutchinson-Pugh Pvt. Ltd.,40.53927078529696,256
"Miller, Archer and Beck Pvt. Ltd.",84.61644054854378,383
Evans-Hunter Pvt. Ltd.,86.57804519623949,292
Lopez-Rosales Pvt. Ltd.,90.325598347708,972
"Barker, Miller and Erickson Pvt. Ltd.",96.9500355239313,873
Burns-Turner Pvt. Ltd.,28.86442874055003,485
"Wilson, Horton and Keith Pvt. Ltd.",56.17770149164769,484
Yoder-Norton Pvt. Ltd.,40.16243903289848,499
"Hughes, Clark and Bell Pvt. Ltd.",86.33435551279322,791
Marshall-Gonzalez Pvt. Ltd.,93.09746807276146,344
"Lopez, Oneal and Dawson Pvt. Ltd.",38.75422955497739,514
Charles Inc Pvt. Ltd.,71.98589672015872,447
"Mckay, Bonilla and Martinez Pvt. Ltd.",84.60156371083183,236
"Harmon, Robinson and Keith Pvt. Ltd.",65.15539422960501,996
"Odom, Duncan and Morris Pvt. Ltd.",96.09405142575906,745
"Moyer, Benson and Bush Pvt. Ltd.",76.38496601117092,225
"Spencer, Christian and Johnson Pvt. Ltd.",26.344161983578815,410
"Soto, Gonzalez and Smith Pvt. Ltd.",40.90951283934787,692
"Frazier, Mccormick and Kane Pvt. Ltd.",27.49340867714004,809
"Washington, Barnes and Evans Pvt. Ltd.",44.15848847242986,245
"Dawson, Jordan and Hoffman Pvt. Ltd.",23.63453893580401,650
Sanders-Torres Pvt. Ltd.,3.443101076645183,296
"Wells, Wilson and Keller Pvt. Ltd.",17.100122510943116,794
"Stephens, Wells and Lucas Pvt. Ltd.",96.55043732289376,279
Sanders-Underwood Pvt. Ltd.,50.00111179400943,972
"Powell, Stevens and Wallace Pvt. Ltd.",45.02377084415975,150
"Jacobs, Freeman and Herrera Pvt. Ltd.",39.63639627788641,292
"Little, Murphy and Cooper Pvt. Ltd.",77.76236187184163,555
"Walker, Thomas and Shelton Pvt. Ltd.",30.683450842315995,873
Archer PLC Pvt. Ltd.,75.11359586894041,344
"Lewis, Anderson and Mata Pvt. Ltd.",44.36497177186567,345
"Warner, Sanchez and Davis Pvt. Ltd.",62.49348407068651,341
Miller-Watson Pvt. Ltd.,90.63223935955904,277
Wilson-Delacruz Pvt. Ltd.,84.28091916788517,168
Sullivan-Carroll Pvt. Ltd.,24.62113280991779,504
"Blackburn, Obrien and Andrade Pvt. Ltd.",26.47012878306374,319
"Hancock, Perez and Chavez Pvt. Ltd.",91.16808658615558,593
Wood-Torres Pvt. Ltd.,17.689280008248044,316
Davis-Dunn Pvt. Ltd.,17.3392211388956,405
Turner-Hester Pvt. Ltd.,17.44211588314122,965
Schaefer-Bowen Pvt. Ltd.,53.16846426612016,718
"Hutchinson, Winters and Garcia Pvt. Ltd.",3.8791113739711225,213
Malone Group Pvt. Ltd.,79.39472746333844,884
Bell-Peterson Pvt. Ltd.,54.0911330878859,637
"Tucker, Greene and Henry Pvt. Ltd.",23.150997036586617,741
Brooks LLC Pvt. Ltd.,14.311475058147838,166
"Dominguez, Wallace and Moore Pvt. Ltd.",70.88980788291389,741
"Kane, Valentine and Green Pvt. Ltd.",88.08462132733918,286
Allen-Rowe Pvt. Ltd.,0.4653614295175967,712
"Evans, Miller and Williams Pvt. Ltd.",25.58013271614237,373
Lee-Parker Pvt. Ltd.,60.85863110883215,977
Evans-Clements Pvt. Ltd.,11.514838729082944,936
Huffman-Evans Pvt. Ltd.,68.61689852157676,616
"Fields, Reese and Robinson Pvt. Ltd.",6.718395890619544,681
"Norman, Allen and Torres Pvt. Ltd.",26.41370295735175,413
"Rojas, Thompson and Adams Pvt. Ltd.",71.23378594958818,813
"Nelson, Edwards and Fuentes Pvt. Ltd.",24.33322743113809,839
Fitzgerald-Diaz Pvt. Ltd.,95.58581580247618,869
Jefferson-Phillips Pvt. Ltd.,93.85264789032745,843
Moore-Jones Pvt. Ltd.,66.66415550408496,613
"Smith, Ayers and Bowen Pvt. Ltd.",48.54593971657973,442
"Cruz, Garza and Grimes Pvt. Ltd.",39.11569358592708,999
Woodward-Fernandez Pvt. Ltd.,9.054540481674266,431
Davis-Aguirre Pvt. Ltd.,30.516913123105805,855
Terrell-Delacruz Pvt. Ltd.,61.73799330275852,839
"Murphy, Stephens and Henry Pvt. Ltd.",2.3607804858033266,285
"Rios, Price and West Pvt. Ltd.",48.54007136376024,881
"Ramirez, Williams and Davis Pvt. Ltd.",50.85663802419553,330
Sweeney and Sons Pvt. Ltd.,52.534051880056765,833
Baker-Anderson Pvt. Ltd.,72.48329976198377,437
Sandoval PLC Pvt. Ltd.,68.6112578867297,451
Rodriguez-Patel Pvt. Ltd.,99.16185555607434,224
"Stevens, Cross and Holland Pvt. Ltd.",70.14776361048605,553
Holder-Alvarez Pvt. Ltd.,96.64985035377047,610
Garza-Young Pvt. Ltd.,57.814689807952455,910
"Hunter, Rodriguez and Shah Pvt. Ltd.",9.089899697097737,541
Miller-Weeks Pvt. Ltd.,95.07409084673073,835
"Ortiz, Rodriguez and Crawford Pvt. Ltd.",72.3702023623175,379
"Taylor, Washington and Harris Pvt. Ltd.",49.19328520124127,208
Morgan and Sons Pvt. Ltd.,23.949924087447528,839
Cummings-Cummings Pvt. Ltd.,32.027527904142886,999
"Flores, Jordan and Lee Pvt. Ltd.",80.96664442700036,883
Davis-Collins Pvt. Ltd.,16.645924265548008,167
Glover-Anderson Pvt. Ltd.,35.8152001668537,265
Meyer-Davidson Pvt. Ltd.,16.420477504462415,380
"Williams, Guerrero and Phillips Pvt. Ltd.",7.367936618203885,593
Mcdowell-Diaz Pvt. Ltd.,76.47020380955902,403
Morris-Reynolds Pvt. Ltd.,66.76922908375033,353
"Shelton, Taylor and Anderson Pvt. Ltd.",99.01804226263047,612
"Casey, Jackson and Baker Pvt. Ltd.",58.681848727053534,874
"Orozco, Hendricks and Mahoney Pvt. Ltd.",65.55047116130176,220
"Sullivan, Mclaughlin and Smith Pvt. Ltd.",12.873622760632976,899
"Newman, Bennett and Jones Pvt. Ltd.",16.72678750021038,933
Becker-Davidson Pvt. Ltd.,39.80169058300489,306
"Moore, Forbes and Jackson Pvt. Ltd.",50.16489673272522,351
Massey LLC Pvt. Ltd.,84.99973461812472,477
Valencia-Jarvis Pvt. Ltd.,20.285363693472423,678
"Stone, Hobbs and Franklin Pvt. Ltd.",27.74542511342227,516
Taylor-Snow Pvt. Ltd.,94.89882688183772,947
Mccoy-Burke Pvt. Ltd.,76.88743706025993,599
"Whitney, Dixon and Perez Pvt. Ltd.",57.4800688966833,640
Guzman-Mccoy Pvt. Ltd.,44.46881009249752,289
"Mckay, Peters and Mitchell Pvt. Ltd.",80.99414630930204,275
Cummings-Carter Pvt. Ltd.,37.15823376121688,183
Kelly-Martinez Pvt. Ltd.,28.614767971955533,673
"Phelps, Young and Jones Pvt. Ltd.",15.946638816439808,739
"Guerrero, Armstrong and Johnson Pvt. Ltd.",86.72597591600336,435
"Taylor, Robinson and Simmons Pvt. Ltd.",31.577162741339748,339
"Hoffman, Wade and Bray Pvt. Ltd.",6.201109379830772,641
"Morrison, Morgan and Perez Pvt. Ltd.",69.44009194181439,423
"Ayers, Flores and Franklin Pvt. Ltd.",8.849748083545705,693
Patrick Group Pvt. Ltd.,93.36038519920854,970
"Anderson, Harrell and Sanchez Pvt. Ltd.",34.8179116711404,610
Fox-Wilson Pvt. Ltd.,14.792704517526534,976
Carter-Boyle Pvt. Ltd.,14.112503472262706,167
Jackson-Logan Pvt. Ltd.,46.550682547400136,934
"Wright, Henry and Sellers Pvt. Ltd.",24.576021234899503,319
"Taylor, Shaw and Gardner Pvt. Ltd.",81.21437742601493,769
Goodman-Horn Pvt. Ltd.,54.653206970297454,187
Garcia-Olson Pvt. Ltd.,6.960397372457205,167
"Ingram, Wright and Burns Pvt. Ltd.",23.860039074184225,976
Patton-Lee Pvt. Ltd.,37.48279193784164,585
"Jarvis, Johnston and Garcia Pvt. Ltd.",1.5769233703576635,763
"Wolf, Lucas and Robertson Pvt. Ltd.",51.10287029018868,474
Nguyen-Cook Pvt. Ltd.,97.99227948874427,567
"Wheeler, Jenkins and Mckenzie Pvt. Ltd.",56.80043041937505,503
Johnson-Rivera Pvt. Ltd.,75.6555223861787,623
"Lee, Guzman and Jones Pvt. Ltd.",91.67189949099468,444
Richmond-Strickland Pvt. Ltd.,70.12649543312651,310
"Obrien, Reeves and Fuller Pvt. Ltd.",7.025138517855645,168
"Phillips, Walker and Mccoy Pvt. Ltd.",15.542909071455323,417
"Ford, Vega and Roberts Pvt. Ltd.",2.1731278552441835,775
Torres-Morgan Pvt. Ltd.,79.86177512273035,664
Fitzpatrick-Villarreal Pvt. Ltd.,59.47020009894941,903
Shaw-Frank Pvt. Ltd.,14.718589598124456,660
Wong-Jones Pvt. Ltd.,14.75701219160378,760
Gomez-Bray Pvt. Ltd.,94.69189111024578,428
"Williams, Ramos and Reid Pvt. Ltd.",20.80718614356809,533
Mcdaniel-Hodges Pvt. Ltd.,11.606343926418894,748
Wilcox-Lewis Pvt. Ltd.,38.41639933287214,383
Kim-Sandoval Pvt. Ltd.,87.56038112905377,902
Perry-Huber Pvt. Ltd.,68.61474073113699,837
"Manning, Knox and Hernandez Pvt. Ltd.",44.17965823242837,796
"Morales, Velasquez and Petersen Pvt. Ltd.",13.291637240627342,198
Guerrero-Ramsey Pvt. Ltd.,49.291396684965015,893
"Jones, Martinez and Moore Pvt. Ltd.",48.18837584979831,770
Cervantes-Patel Pvt. Ltd.,94.71569859235306,937
Melton-Macias Pvt. Ltd.,94.29914808078996,983
"Tate, Adams and Sherman Pvt. Ltd.",23.826610383216963,999
Anderson-Gordon Pvt. Ltd.,74.27372338008688,319
Gibbs-Lewis Pvt. Ltd.,95.0756917465432,629
Valdez-Moore Pvt. Ltd.,29.910470488232257,159
Vazquez-Bond Pvt. Ltd.,52.662896381491656,277
Butler-Craig Pvt. Ltd.,76.99336633814642,683
Terrell-Armstrong Pvt. Ltd.,38.97034976166024,678
Garcia-Mcdonald Pvt. Ltd.,37.44493341819643,902
"Whitney, Mcdonald and White Pvt. Ltd.",30.485949373466543,340
Weber-Henry Pvt. Ltd.,24.11986266124947,659
Boyer-Taylor Pvt. Ltd.,88.66531078935684,319
"Gray, Davis and Barnes Pvt. Ltd.",45.19807317388855,174
Mills and Sons Pvt. Ltd.,60.52611113102002,211
Price-Gibson Pvt. Ltd.,67.9096195342148,331
Sullivan-Lowe Pvt. Ltd.,13.331629622576912,649
Austin-Reese Pvt. Ltd.,94.74303574683064,276
"Medina, King and Green Pvt. Ltd.",85.72392373712731,187
David-Wilson Pvt. Ltd.,95.6015226572808,282
Smith-Brady Pvt. Ltd.,1.6016249876693922,316
"Myers, Sullivan and Mccullough Pvt. Ltd.",85.0545675483696,621
Brown-West Pvt. Ltd.,20.65209261735904,970
Mahoney-Hernandez Pvt. Ltd.,85.97463167276405,718
"Tucker, Wang and Green Pvt. Ltd.",62.64395733055307,272
Barr-Wells Pvt. Ltd.,22.300198060241662,216
Miller-Richards Pvt. Ltd.,51.68476679030469,519
Sullivan Group Pvt. Ltd.,14.23254625298257,422
"Bass, Wade and Jackson Pvt. Ltd.",88.89767108054906,964
"Harris, Juarez and Schneider Pvt. Ltd.",9.924276011155465,285
"Austin, Smith and Davidson Pvt. Ltd.",82.69122880678633,611
"Allen, Gordon and Cochran Pvt. Ltd.",58.8925531610357,663
Jackson-Roth Pvt. Ltd.,27.515116298897635,529
Keller-Oconnell Pvt. Ltd.,21.04393870466757,721
"Williams, Christian and Zavala Pvt. Ltd.",41.72879869625192,606
"Alexander, King and Gutierrez Pvt. Ltd.",90.68198669134414,708
Bolton-Phelps Pvt. Ltd.,56.76262355197945,862
"Young, Sims and Baker Pvt. Ltd.",17.525202745882762,537
Sanchez-Sullivan Pvt. Ltd.,60.45577512734498,882
"Mullins, Graves and Steele Pvt. Ltd.",9.12776839390248,224
"Sanders, Lutz and Robinson Pvt. Ltd.",10.560601277614223,482
"Long, Rodriguez and Reid Pvt. Ltd.",36.77842345023621,933
"Hanson, Sweeney and Ray Pvt. Ltd.",76.78143399288493,500
"Cox, Patterson and Jackson Pvt. Ltd.",82.42354485339898,776
"Robinson, Johnson and Lee Pvt. Ltd.",38.68286005588415,603
"Miller, Carlson and Alvarado Pvt. Ltd.",11.72651626689153,237
"Miller, Massey and Wright Pvt. Ltd.",88.5520523360573,611
"Short, Stevenson and Smith Pvt. Ltd.",63.12663539626158,196
"Tran, Harrison and Ewing Pvt. Ltd.",19.02752762408185,885
Harris-Poole Pvt. Ltd.,1.246923734186789,312
"Duncan, Hamilton and Castillo Pvt. Ltd.",65.39173496892552,849
Anderson-Conway Pvt. Ltd.,97.46121640998328,960
Vargas-Long Pvt. Ltd.,12.753438101880132,538
Mccall-Cruz Pvt. Ltd.,38.84583441903965,157
Mason-Lang Pvt. Ltd.,5.759288098631298,923
"Vincent, Cole and Nielsen Pvt. Ltd.",49.77127757332448,470
"Harper, Larson and Fox Pvt. Ltd.",16.394693538016845,272
"Thomas, Woodard and Mitchell Pvt. Ltd.",29.448644870433466,368
"Miller, Davis and Bennett Pvt. Ltd.",8.503056671493292,354
"Collins, Stone and Lawson Pvt. Ltd.",51.46744058475314,241
"Haynes, Shields and Carter Pvt. Ltd.",43.93239594985855,460
"Morales, Stephens and Mills Pvt. Ltd.",75.94113192009047,346
Roberts-Kennedy Pvt. Ltd.,79.44390790843507,694
"Lopez, Hernandez and Charles Pvt. Ltd.",27.64428999522208,543
Wallace-Huerta Pvt. Ltd.,10.237384190118892,858
"Butler, Chandler and Gregory Pvt. Ltd.",15.392473387694528,860
Richmond-Hartman Pvt. Ltd.,43.983038584185486,991
"Parker, Wright and Wiley Pvt. Ltd.",70.5484790466809,293
Murphy-Navarro Pvt. Ltd.,91.51343316165617,305
Ross-Collins Pvt. Ltd.,79.49954835036202,706
"Carr, Malone and Weaver Pvt. Ltd.",95.98949070461444,674
"Drake, Dean and Walton Pvt. Ltd.",83.57849556162175,280
Mckee Inc Pvt. Ltd.,86.914826370085,385
"Morris, Crosby and Green Pvt. Ltd.",42.625423258692,729
"Bauer, Hernandez and Simpson Pvt. Ltd.",88.5938528996481,500
"Young, Sims and Morrow Pvt. Ltd.",54.46314572870647,683
"Mcdonald, Jackson and Burnett Pvt. Ltd.",43.11942891213376,464
"Reyes, Lowe and Hernandez Pvt. Ltd.",72.90740340338758,824
"Terry, Wang and Martin Pvt. Ltd.",31.903537824606488,369
"Watson, Frederick and Patterson Pvt. Ltd.",9.958843736166134,319
Day-Fields Pvt. Ltd.,97.09448482562586,871
"Garcia, Miller and Malone Pvt. Ltd.",38.920474122803085,318
"Martin, Sanchez and Sanchez Pvt. Ltd.",87.19769767501182,1000
"Harper, Brooks and Baxter Pvt. Ltd.",91.19704445780484,454
"Solis, Herrera and Brown Pvt. Ltd.",51.10143047708496,615
"Harrison, Jenkins and Smith Pvt. Ltd.",23.09769899634552,972
King-Jones Pvt. Ltd.,2.3825237919592013,597
"Shaw, Brown and Duncan Pvt. Ltd.",30.133137460179427,918
Harris-Harris Pvt. Ltd.,51.81908394384297,264
"Baker, Reynolds and Aguilar Pvt. Ltd.",74.71566745413665,198
"Nelson, Snow and Meadows Pvt. Ltd.",73.12237536740463,199
"Aguirre, King and Miller Pvt. Ltd.",44.00877762904801,400
"Mack, Sims and Jackson Pvt. Ltd.",88.88941434029869,843
Gonzales-Williams Pvt. Ltd.,7.397110558399067,910
Hunt-Mills Pvt. Ltd.,84.33968775127448,509
"French, Mills and Bernard Pvt. Ltd.",38.839680555086176,248
Collins-Shepherd Pvt. Ltd.,15.235241782328435,217
Rice LLC Pvt. Ltd.,5.636061771815815,611
Goodman-Silva Pvt. Ltd.,4.928066412749876,709
"Hicks, Brown and Hoover Pvt. Ltd.",51.39026913796603,468
Randall-Myers Pvt. Ltd.,81.83027918607134,895
"Griffin, Hernandez and Edwards Pvt. Ltd.",43.478388856262015,155
Ramirez Inc Pvt. Ltd.,51.71990607410065,585
Moore-Morris Pvt. Ltd.,6.50844654021766,568
Scott-Freeman Pvt. Ltd.,99.8913730417402,762
"Collier, Williams and Brown Pvt. Ltd.",44.96918418001508,806
"Christian, Ruiz and Brewer Pvt. Ltd.",96.820567164265,981
Tucker-Fernandez Pvt. Ltd.,85.17623204594258,220
Murphy-Wheeler Pvt. Ltd.,59.48256426787962,624
Barron-Santos Pvt. Ltd.,95.91855083165407,398
"Castro, Gregory and Mooney Pvt. Ltd.",39.15044061547065,212
"Page, Baker and Wells Pvt. Ltd.",1.8543507526184837,906
Waters LLC Pvt. Ltd.,51.774563289982645,860
Schmidt-Johnson Pvt. Ltd.,45.69525888379356,283
Jordan-Logan Pvt. Ltd.,56.11314427939512,690
"Hancock, Chang and Barnes Pvt. Ltd.",50.31702345478847,633
"Tucker, Young and Roberts Pvt. Ltd.",80.71773543706722,389
Taylor-Tran Pvt. Ltd.,50.199822665927016,350
"Gray, Joseph and Lopez Pvt. Ltd.",73.53234609547941,203
"Mathis, Fox and Macias Pvt. Ltd.",46.25286979198277,431
Chavez-Martinez Pvt. Ltd.,99.87249214818748,722
Smith-Martin Pvt. Ltd.,88.67131704428418,846
Kim-Robinson Pvt. Ltd.,60.38559703804827,936
"Hall, Fuller and Hoffman Pvt. Ltd.",8.799351103622266,630
Gardner-Garcia Pvt. Ltd.,2.3082581455253326,573
"Fitzgerald, Lewis and Robinson Pvt. Ltd.",16.926188165297773,299
"Cole, Watson and Adams Pvt. Ltd.",36.74802739150324,695
"Harrison, White and Blake Pvt. Ltd.",72.3612211446222,171
Davenport-Rose Pvt. Ltd.,8.763222518146796,557
"Keith, Peterson and Johnson Pvt. Ltd.",81.99025815347504,683
"Craig, Brown and Anderson Pvt. Ltd.",59.73717244247396,407
"Maldonado, Willis and Fletcher Pvt. Ltd.",3.326227848228536,730
"Sandoval, Harris and Romero Pvt. Ltd.",44.94771549354811,728
"Hill, Pineda and Wood Pvt. Ltd.",75.09296472482856,615
"Wilson, Armstrong and Valencia Pvt. Ltd.",10.34220571699722,742
Singleton-Rodriguez Pvt. Ltd.,61.89476075727378,404
King-Pratt Pvt. Ltd.,41.53091763697109,597
"Cervantes, Moore and Price Pvt. Ltd.",80.14997887700521,260
Ellison-Miller Pvt. Ltd.,5.023431180096926,863
"Macias, Murphy and Torres Pvt. Ltd.",55.66140211121825,159
Silva PLC Pvt. Ltd.,66.43308348605166,798
"Moss, Mueller and Reese Pvt. Ltd.",91.5394528467193,408
Taylor-Parker Pvt. Ltd.,21.064089380755718,741
"Moore, Hernandez and Reyes Pvt. Ltd.",49.79054509410054,406
Williams-Meyer Pvt. Ltd.,84.79474145767787,535
